Product_Name, Brand, Price in Euros,Available Quantity,Base Price
TRADER JOE'S® Feine Blattsalate von ALDI Nord,TRADER JOE'S®,1.29,125-g-Beutel,100 g = 1.03
KITCHENETTE® Fertiggerichte von ALDI Nord,KITCHENETTE®,1.69,400-g-Packung,kg = 4.23
LINDTMANNS® Frisches Fertiggericht von ALDI Nord,LINDTMANN'S®,2.99,Schale,kg = 6.64/5.98/5.16
Güldenhof Hähnchenbrust Filetstücke von ALDI Nord,GÜLDENHOF®,1.59,150-g-Packung,100 g = 1.06
LINDTMANNS® Hühner-Frikassee von ALDI Nord,LINDTMANN'S®,1.39,450-g-Packung,kg = 3.09
ALL SEASONS® Multipack Gemüse von ALDI Nord,ALL SEASONS®,2.59,6x150-g-Pckg.,kg = 2.88
OFTERDINGER® Orientalischer Salat von ALDI Nord,OFTERDINGER®,0.99,200-g-Packung,100 g = 0.50
POTTKIEKER® Original Metzgereintopf von ALDI Nord,POTTKIEKER®,2.39,900-g-Rolle,kg = 2.66
MAMA MANCINI® Pasta von ALDI Nord,MAMA MANCINI®,1.25,400-g-Packung,kg = 3.13
TRADER JOES® Salat Menü von ALDI Nord,TRADER JOE'S®,2.59,350-g-Packung,kg = 7.40
DELIKATO® Sandwich von ALDI Nord,DELIKATO®,1.59,Packung,100 = 0.88/0.86
SÖLDE® Schnitzel von ALDI Nord,SÖLDE®,1.99,300-g-Packung,1 kg = 6.63
DEVINA® Snackwürfel von ALDI Nord,DEVINA®,1.59,2x80-g-Schale,100 g = 0.99
  ASIA GREEN GARDEN® Sushi Box von ALDI Nord,ASIA GREEN GARDEN®,2.89,Packung,100 g = 1.52/1.45/1.38
LINDTMANNS® Teilfertiggericht von ALDI Nord,LINDTMANN'S®,1.99,500-g-Packung,kg = 3.98
